model,condition,feature,raw_n,unique_n,raw_mean,dedup_mean,diff
Llama 3.1,BOS-only,Assist.-phrase,1924,1924,0.02265020963808685,0.02265020963808685,0.0
Llama 3.1,BOS-only,Refusal-like,1924,1924,0.013883586405068838,0.01388358640506884,-1.734723475976807e-18
Llama 3.1,BOS-only,Self-ref.,1924,1924,0.005744857237590265,0.005744857237590265,0.0
Llama 3.1,BOS-only,Hedging,1924,1924,0.005645635955824893,0.005645635955824893,0.0
Llama 3.1,BOS-only,Sent. length,1924,1924,36.920822550258166,36.92082255025817,-7.105427357601002e-15
Llama 3.1,Chat-no-gen,Assist.-phrase,952,952,0.03041679363005942,0.03041679363005942,0.0
Llama 3.1,Chat-no-gen,Refusal-like,952,952,0.0063889668962966014,0.0063889668962966014,0.0
Llama 3.1,Chat-no-gen,Self-ref.,952,952,0.013103847532154553,0.013103847532154553,0.0
Llama 3.1,Chat-no-gen,Hedging,952,952,0.018926500425802885,0.01892650042580289,-3.469446951953614e-18
Llama 3.1,Chat-no-gen,Sent. length,952,952,22.886200949617923,22.88620094961792,3.552713678800501e-15
Llama 3.1,Empty-user,Assist.-phrase,1570,1559,0.3095983189038885,0.3100188330205933,-0.00042051411670479544
Llama 3.1,Empty-user,Refusal-like,1570,1559,0.0004670912951167728,0.00047038700021381227,-3.295705097039459e-06
Llama 3.1,Empty-user,Self-ref.,1570,1559,0.06321738981189778,0.06325552502271768,-3.81352108198979e-05
Llama 3.1,Empty-user,Hedging,1570,1559,0.034966237007005345,0.035051063941172925,-8.482693416757975e-05
Llama 3.1,Empty-user,Sent. length,1570,1559,11.928131455230432,11.923829196950042,0.004302258280389992
Qwen 3,BOS-only,Assist.-phrase,332,332,0.012719956154017532,0.012719956154017532,0.0
Qwen 3,BOS-only,Refusal-like,332,332,0.000729246774331368,0.000729246774331368,0.0
Qwen 3,BOS-only,Self-ref.,332,332,0.010436227354952433,0.010436227354952433,0.0
Qwen 3,BOS-only,Hedging,332,332,0.0058085835199742425,0.0058085835199742425,0.0
Qwen 3,BOS-only,Sent. length,332,332,149.9265531282642,149.9265531282642,0.0
Qwen 3,Chat-no-gen,Assist.-phrase,977,975,0.05513072892546669,0.055243817600185596,-0.00011308867471890305
Qwen 3,Chat-no-gen,Refusal-like,977,975,0.009416680603401745,0.00943599687130616,-1.9316267904414056e-05
Qwen 3,Chat-no-gen,Self-ref.,977,975,0.0347745441396855,0.0348157106254019,-4.116648571639986e-05
Qwen 3,Chat-no-gen,Hedging,977,975,0.02883740529681667,0.028580303414235727,0.0002571018825809415
Qwen 3,Chat-no-gen,Sent. length,977,975,13.672572460377568,13.67856748080911,-0.00599502043154132
Qwen 3,Empty-user,Assist.-phrase,1978,1971,0.141982914945354,0.14071141844845775,0.0012714964968962572
Qwen 3,Empty-user,Refusal-like,1978,1971,0.0046925096927275265,0.004709175125426204,-1.6665432698677145e-05
Qwen 3,Empty-user,Self-ref.,1978,1971,0.04952377482992917,0.04947990006777638,4.387476215278463e-05
Qwen 3,Empty-user,Hedging,1978,1971,0.05822615769651985,0.058198267163367685,2.7890533152163943e-05
Qwen 3,Empty-user,Sent. length,1978,1971,10.383947604912779,10.385311193565439,-0.0013635886526603969
OLMo 3,BOS-only,Assist.-phrase,1753,1753,0.01966748090920509,0.01966748090920509,0.0
OLMo 3,BOS-only,Refusal-like,1753,1753,0.005323948382881402,0.005323948382881402,0.0
OLMo 3,BOS-only,Self-ref.,1753,1753,0.012373717712052148,0.012373717712052148,0.0
OLMo 3,BOS-only,Hedging,1753,1753,0.01064514867681551,0.01064514867681551,0.0
OLMo 3,BOS-only,Sent. length,1753,1753,27.892530602308476,27.892530602308476,0.0
OLMo 3,Chat-no-gen,Assist.-phrase,340,292,0.3138074641621354,0.3217278692298837,-0.007920405067748326
OLMo 3,Chat-no-gen,Refusal-like,340,292,0.0,0.0,0.0
OLMo 3,Chat-no-gen,Self-ref.,340,292,0.046853713630318115,0.04936076946032978,-0.0025070558300116647
OLMo 3,Chat-no-gen,Hedging,340,292,0.020897951117483275,0.01883193880078398,0.0020660123166992943
OLMo 3,Chat-no-gen,Sent. length,340,292,8.086567803592025,8.189496757607152,-0.1029289540151268
